,Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Vehicle Type,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,CarbonEmission,Recycle_Glass,Recycle_Metal,Recycle_Paper,Recycle_Plastic,Cook_Airfryer,Cook_Grill,Cook_Microwave,Cook_Oven,Cook_Stove
6168,normal,male,vegetarian,twice a day,wood,private,electric,never,50,very frequently,646,medium,3,9,33,23,1,2481,1,1,0,0,0,0,0,0,1
6169,normal,male,omnivore,twice a day,electricity,walk/bicycle,none,often,175,frequently,62,large,2,20,29,21,1,1977,1,1,0,1,1,1,0,1,0
6170,overweight,male,pescatarian,daily,electricity,walk/bicycle,none,sometimes,195,very frequently,95,medium,4,3,33,9,0,2591,1,1,0,1,1,1,0,1,1
6171,underweight,male,omnivore,more frequently,wood,public,bus,never,99,very frequently,750,extra large,4,11,18,6,1,2552,1,0,1,1,1,1,1,0,1
6172,obese,female,omnivore,daily,coal,public,bus,often,73,never,1606,medium,2,8,14,10,1,1553,1,0,0,0,1,1,0,0,0
6173,obese,female,vegan,less frequently,natural gas,public,bus,never,228,rarely,1239,medium,1,7,47,17,2,1484,1,0,1,0,0,0,0,0,0
6174,normal,female,pescatarian,daily,electricity,private,petrol,sometimes,180,very frequently,5210,extra large,2,2,13,19,2,3326,1,1,0,1,1,1,0,0,0
6175,overweight,male,omnivore,twice a day,electricity,walk/bicycle,none,never,171,rarely,56,extra large,3,21,41,13,0,1838,1,0,1,1,1,1,0,1,0
6176,underweight,female,vegan,less frequently,coal,private,lpg,often,221,never,7074,extra large,4,17,8,8,2,2783,1,0,1,0,0,0,0,0,1
6177,obese,male,omnivore,daily,wood,public,bus,never,212,never,255,extra large,5,19,14,0,2,1496,1,1,1,1,0,0,0,0,1
6178,obese,male,omnivore,more frequently,natural gas,private,hybrid,often,285,never,6068,small,3,21,30,3,2,3281,1,0,0,0,1,1,1,0,1
6179,underweight,male,vegetarian,daily,wood,public,bus,sometimes,267,never,1665,large,6,3,8,7,0,1363,0,1,1,0,0,0,0,1,1
6180,overweight,female,omnivore,daily,wood,private,lpg,never,90,rarely,9950,large,7,21,45,5,0,5029,0,0,0,1,1,1,1,0,0
6181,underweight,male,pescatarian,daily,natural gas,public,bus,often,83,never,1651,small,1,16,34,23,2,1337,0,0,0,1,0,0,0,0,1
6182,obese,female,vegan,less frequently,electricity,public,bus,sometimes,66,very frequently,472,small,2,10,49,0,1,2306,1,1,0,1,1,1,0,1,0
6183,underweight,female,vegetarian,more frequently,natural gas,walk/bicycle,none,never,60,very frequently,16,small,2,20,44,8,1,2021,1,1,0,1,1,1,1,0,1
6184,normal,female,pescatarian,less frequently,natural gas,public,bus,never,267,very frequently,1033,extra large,5,14,47,17,1,2893,1,1,0,0,1,1,0,0,0
6185,underweight,female,pescatarian,less frequently,electricity,public,bus,often,193,rarely,872,medium,7,5,2,11,2,1044,0,1,0,1,1,1,0,1,1
6186,overweight,male,pescatarian,less frequently,coal,private,lpg,never,155,very frequently,3811,medium,6,9,49,18,1,4594,1,0,1,1,1,1,0,1,0
6187,underweight,male,omnivore,daily,electricity,private,petrol,often,200,rarely,2915,large,7,11,45,20,1,3071,1,1,1,0,0,0,1,0,1
6188,obese,female,omnivore,daily,wood,walk/bicycle,none,often,266,frequently,34,large,1,3,3,24,0,2067,0,1,0,1,0,0,0,1,1
6189,obese,male,vegetarian,daily,natural gas,public,bus,sometimes,220,rarely,1835,extra large,7,18,10,15,1,2666,1,0,0,0,0,0,1,0,1
6190,normal,female,vegetarian,less frequently,natural gas,private,electric,never,297,never,4763,small,2,2,40,18,2,1024,0,0,1,1,0,0,1,1,0
6191,overweight,female,vegan,less frequently,electricity,public,bus,never,271,rarely,1595,large,5,22,25,3,0,1518,0,0,1,0,0,0,1,0,1
6192,underweight,male,vegetarian,more frequently,natural gas,public,bus,never,248,very frequently,356,large,6,24,41,8,2,3061,1,0,1,0,0,0,1,0,1
6193,overweight,female,vegetarian,more frequently,electricity,public,bus,sometimes,265,rarely,770,large,3,4,33,4,0,1131,1,1,1,1,1,1,1,0,1
6194,obese,male,omnivore,more frequently,wood,public,bus,often,130,very frequently,526,medium,4,0,17,20,1,3559,0,0,0,0,1,1,0,0,1
6195,normal,female,vegetarian,more frequently,natural gas,private,electric,never,256,frequently,3940,extra large,4,3,34,3,1,1875,1,1,0,1,1,1,0,1,0
6196,obese,female,pescatarian,daily,wood,private,diesel,sometimes,140,frequently,3689,medium,6,7,37,21,2,3231,0,1,1,0,1,1,0,0,1
6197,normal,female,vegetarian,more frequently,electricity,walk/bicycle,none,often,134,very frequently,53,medium,5,7,24,0,0,1983,1,1,1,0,1,1,1,0,0
6198,underweight,female,pescatarian,more frequently,wood,private,diesel,often,63,frequently,278,large,1,20,4,21,0,1436,1,0,1,0,0,0,1,1,1
6199,underweight,female,vegetarian,twice a day,coal,private,diesel,often,140,frequently,4623,small,5,7,18,0,0,2598,0,1,0,0,1,1,0,1,0
6200,normal,female,vegan,less frequently,coal,walk/bicycle,none,never,51,never,95,large,2,8,8,3,1,610,1,1,1,0,0,0,0,1,0
6201,underweight,female,omnivore,twice a day,coal,public,bus,sometimes,143,rarely,402,small,5,2,20,20,1,1287,0,1,1,0,0,0,0,1,1
6202,underweight,male,vegan,daily,natural gas,private,diesel,sometimes,137,never,4272,extra large,4,0,36,10,0,2539,0,0,1,0,0,0,1,0,1
6203,normal,female,vegan,twice a day,coal,walk/bicycle,none,sometimes,184,rarely,68,small,3,22,16,15,1,1098,1,0,1,1,1,1,0,0,0
6204,overweight,female,pescatarian,daily,electricity,public,bus,sometimes,269,frequently,1509,extra large,5,0,46,19,1,2570,0,1,0,1,1,1,1,1,1
6205,underweight,male,vegan,twice a day,coal,public,bus,never,99,rarely,1518,small,5,10,2,11,2,1154,0,0,1,1,1,1,1,1,0
6206,obese,male,omnivore,less frequently,coal,public,bus,sometimes,98,frequently,1130,large,6,11,28,0,2,2894,0,1,0,1,1,1,1,1,1
6207,overweight,male,vegetarian,more frequently,electricity,walk/bicycle,none,often,150,rarely,89,medium,2,18,36,14,0,1641,0,0,0,1,0,0,1,0,0
6208,underweight,female,vegetarian,twice a day,coal,private,lpg,often,202,very frequently,1274,medium,1,9,21,18,2,2562,1,0,0,0,1,1,1,0,0
6209,normal,male,vegan,twice a day,natural gas,public,bus,often,271,frequently,1886,large,6,24,26,17,0,2523,1,0,1,0,0,0,0,1,1
6210,underweight,female,vegan,twice a day,coal,private,hybrid,often,272,frequently,3946,small,5,19,4,13,0,2112,1,0,1,0,1,1,1,0,1
6211,normal,male,omnivore,twice a day,electricity,public,bus,sometimes,196,very frequently,1476,medium,5,4,10,15,2,2379,1,0,1,0,0,0,1,1,1
6212,obese,female,pescatarian,twice a day,natural gas,walk/bicycle,none,never,174,very frequently,80,medium,2,21,43,6,2,2901,1,0,1,0,1,1,0,0,1
6213,overweight,female,pescatarian,less frequently,coal,private,diesel,often,278,rarely,3870,medium,2,12,12,7,2,2489,1,0,0,0,1,1,1,0,0
6214,normal,female,omnivore,twice a day,coal,private,petrol,sometimes,164,very frequently,1616,small,7,13,22,10,1,3077,0,0,1,1,0,0,0,1,0
6215,obese,female,vegetarian,less frequently,natural gas,walk/bicycle,none,never,115,very frequently,95,large,3,21,40,23,1,2896,1,1,0,0,0,0,0,1,0
6216,overweight,female,vegan,less frequently,natural gas,private,diesel,often,145,frequently,6098,extra large,1,20,50,14,2,3523,0,1,0,0,1,1,0,1,0
6217,underweight,male,vegetarian,daily,natural gas,private,hybrid,often,246,rarely,6117,small,2,14,41,16,1,2376,1,0,1,0,1,1,0,0,0
6218,normal,female,pescatarian,daily,coal,walk/bicycle,none,sometimes,142,very frequently,0,extra large,2,23,17,23,1,2365,1,1,0,1,0,0,0,1,1
6219,normal,female,vegan,less frequently,wood,walk/bicycle,none,often,88,very frequently,25,small,5,23,15,9,2,1823,1,1,1,1,1,1,1,1,0
6220,obese,female,omnivore,twice a day,natural gas,walk/bicycle,none,sometimes,256,rarely,93,large,2,24,37,2,0,1749,1,1,1,0,1,1,1,0,1
6221,normal,female,vegan,less frequently,natural gas,public,bus,sometimes,163,never,1529,small,6,8,36,0,1,1286,0,0,0,1,1,1,1,1,1
6222,normal,female,pescatarian,daily,electricity,walk/bicycle,none,often,267,never,1,medium,2,22,50,15,1,1496,0,0,0,1,1,1,0,1,1
6223,obese,male,vegan,more frequently,electricity,private,electric,often,289,frequently,9901,medium,3,24,3,9,1,1786,1,0,1,0,0,0,1,1,1
6224,obese,female,vegetarian,twice a day,coal,public,bus,sometimes,68,rarely,1383,small,7,23,47,22,0,2019,0,1,1,1,1,1,0,0,1
6225,normal,male,vegetarian,twice a day,wood,walk/bicycle,none,never,291,never,39,large,4,3,1,16,1,1023,1,0,1,1,0,0,0,1,0
6226,normal,male,omnivore,more frequently,electricity,private,electric,often,111,rarely,5931,medium,7,3,17,16,0,1307,0,1,1,1,0,0,0,0,0
6227,overweight,male,pescatarian,daily,coal,private,petrol,often,111,never,681,small,6,0,46,15,1,2334,1,0,0,0,0,0,0,0,1
6228,obese,female,pescatarian,daily,coal,private,lpg,often,241,frequently,9795,small,2,20,13,6,2,4711,1,1,0,0,0,0,1,1,1
6229,obese,male,vegan,more frequently,wood,private,petrol,never,237,never,1861,small,5,9,48,0,2,2226,1,1,1,1,1,1,0,1,1
6230,overweight,female,vegan,less frequently,wood,public,bus,often,130,frequently,522,small,2,10,49,8,2,2019,0,0,1,1,0,0,0,1,1
6231,obese,female,vegan,more frequently,wood,public,bus,sometimes,236,never,1157,small,1,1,39,13,0,1200,1,1,1,1,1,1,1,0,1
6232,underweight,male,vegetarian,twice a day,natural gas,private,electric,sometimes,248,frequently,5284,medium,5,3,34,3,1,2232,0,1,0,0,1,1,0,1,0
6233,underweight,male,omnivore,less frequently,electricity,walk/bicycle,none,often,200,rarely,56,large,2,11,44,21,0,1757,1,0,0,0,0,0,1,1,0
6234,normal,male,vegan,less frequently,natural gas,public,bus,never,246,rarely,450,small,3,1,26,2,0,1327,0,0,1,0,0,0,1,1,0
6235,obese,male,vegan,twice a day,coal,public,bus,never,56,very frequently,1112,medium,5,5,17,12,2,3198,0,1,1,0,0,0,0,1,1
6236,overweight,female,omnivore,twice a day,wood,private,diesel,never,223,frequently,74,extra large,5,24,20,24,2,2543,0,0,0,1,0,0,0,1,0
6237,underweight,male,vegan,daily,coal,public,bus,never,158,frequently,625,medium,1,20,0,14,2,1557,0,0,0,1,1,1,0,1,0
6238,overweight,male,omnivore,less frequently,coal,walk/bicycle,none,never,86,never,64,medium,1,9,2,3,2,775,1,0,1,0,1,1,1,0,1
6239,obese,female,vegetarian,daily,wood,public,bus,often,257,rarely,1301,medium,4,7,30,17,2,1553,1,1,1,1,1,1,0,0,1
6240,overweight,female,vegetarian,daily,natural gas,public,bus,never,209,rarely,422,large,4,21,28,22,1,1697,0,1,0,0,1,1,0,1,1
6241,underweight,male,vegan,daily,electricity,public,bus,never,134,rarely,1416,extra large,7,12,17,4,2,1708,1,0,0,1,0,0,0,1,0
6242,obese,male,omnivore,less frequently,natural gas,private,lpg,often,253,never,5105,large,6,15,25,16,2,3813,0,1,1,0,0,0,0,1,1
6243,overweight,male,omnivore,daily,natural gas,walk/bicycle,none,sometimes,183,very frequently,42,medium,2,20,2,4,2,2227,0,1,1,1,1,1,0,0,0
6244,normal,female,pescatarian,less frequently,coal,public,bus,never,145,frequently,1790,small,7,16,15,20,1,1805,1,0,0,1,0,0,1,1,0
6245,normal,male,omnivore,less frequently,coal,private,diesel,never,208,frequently,5097,medium,2,16,36,11,2,3425,1,1,0,1,0,0,1,0,0
6246,underweight,female,vegan,twice a day,electricity,walk/bicycle,none,sometimes,67,never,35,medium,2,4,32,1,1,453,1,1,1,1,0,0,0,0,1
6247,overweight,male,omnivore,twice a day,electricity,private,hybrid,often,203,very frequently,3557,extra large,4,17,50,3,2,4127,0,0,1,1,0,0,0,1,0
6248,underweight,male,vegan,daily,wood,private,petrol,sometimes,181,never,7501,extra large,3,15,43,21,1,4059,1,1,1,0,1,1,1,0,1
6249,normal,male,vegetarian,more frequently,coal,private,diesel,often,278,frequently,7316,medium,7,18,47,22,1,4914,0,0,0,0,1,1,1,1,1
6250,underweight,female,vegan,less frequently,electricity,public,bus,sometimes,109,very frequently,780,medium,6,12,34,14,2,2132,1,0,0,1,1,1,0,0,0
6251,normal,male,pescatarian,daily,electricity,walk/bicycle,none,never,175,frequently,91,large,1,12,23,12,0,1475,0,0,1,1,0,0,0,1,0
6252,normal,female,vegan,twice a day,electricity,public,bus,often,193,rarely,569,small,6,18,21,8,0,978,1,1,0,1,1,1,0,0,0
6253,overweight,male,omnivore,less frequently,electricity,public,bus,often,155,very frequently,190,small,5,14,36,24,0,2915,1,1,1,1,0,0,1,1,0
6254,obese,male,pescatarian,daily,wood,walk/bicycle,none,never,61,rarely,65,medium,4,0,17,10,1,1437,0,0,1,1,0,0,1,1,0
6255,overweight,female,pescatarian,daily,natural gas,private,electric,never,63,rarely,5729,large,1,17,44,1,1,1313,0,0,1,1,1,1,1,1,0
6256,underweight,male,pescatarian,less frequently,natural gas,walk/bicycle,none,often,75,very frequently,67,extra large,3,13,0,14,2,2495,0,0,0,0,1,1,0,0,1
6257,underweight,female,vegan,daily,coal,walk/bicycle,none,sometimes,141,very frequently,42,small,2,19,19,4,1,1824,1,1,1,0,0,0,1,1,0
6258,underweight,female,vegetarian,twice a day,coal,walk/bicycle,none,sometimes,285,never,21,small,6,10,45,17,0,1675,0,0,0,1,1,1,0,0,1
6259,obese,female,vegan,more frequently,coal,walk/bicycle,none,often,271,rarely,82,large,7,22,26,18,0,2380,1,1,0,1,0,0,0,1,1
6260,normal,female,pescatarian,more frequently,wood,public,bus,never,288,rarely,1400,extra large,3,10,50,5,2,1832,1,0,0,0,1,1,1,0,0
6261,normal,male,vegetarian,daily,electricity,public,bus,never,123,never,1221,medium,7,7,32,3,0,1075,1,1,1,0,1,1,0,0,1
6262,obese,female,vegetarian,less frequently,natural gas,public,bus,sometimes,124,never,295,extra large,7,22,24,17,1,2022,1,1,0,0,1,1,0,0,1
6263,overweight,female,omnivore,more frequently,natural gas,walk/bicycle,none,never,265,rarely,37,extra large,6,9,12,17,2,1875,0,0,1,1,1,1,0,0,0
6264,overweight,male,vegetarian,twice a day,wood,public,bus,never,274,never,1952,large,1,19,5,5,1,1033,1,1,0,0,1,1,1,1,1
6265,obese,male,pescatarian,less frequently,wood,public,bus,never,186,frequently,557,large,6,6,28,16,2,2714,0,1,0,1,0,0,1,0,0
6266,obese,female,vegetarian,twice a day,electricity,public,bus,sometimes,111,rarely,1865,extra large,2,4,36,9,1,1460,0,1,1,1,1,1,0,1,1
6267,underweight,male,vegetarian,twice a day,electricity,private,lpg,never,129,rarely,8238,large,2,10,28,22,2,3407,0,1,0,0,0,0,0,1,1
6268,overweight,male,vegan,daily,electricity,walk/bicycle,none,sometimes,85,very frequently,78,large,5,22,14,5,2,2549,1,0,0,1,0,0,1,0,0
6269,overweight,male,vegan,more frequently,coal,walk/bicycle,none,sometimes,154,frequently,93,extra large,7,4,35,13,2,3246,1,0,0,0,1,1,0,1,1
6270,underweight,male,pescatarian,daily,wood,walk/bicycle,none,often,250,never,66,medium,5,7,16,11,1,1396,1,0,0,1,1,1,1,0,1
6271,overweight,female,omnivore,twice a day,electricity,walk/bicycle,none,often,245,very frequently,59,small,6,5,15,14,0,2357,1,1,0,1,0,0,1,1,0
6272,obese,male,vegan,less frequently,natural gas,public,bus,never,262,very frequently,1676,large,3,6,19,5,0,2690,1,1,1,1,1,1,1,0,1
6273,overweight,male,vegan,more frequently,coal,private,lpg,often,81,frequently,8787,small,7,23,50,15,1,5145,1,1,1,0,0,0,0,1,0
6274,underweight,male,vegetarian,twice a day,electricity,private,electric,often,101,never,4686,medium,1,15,24,3,0,745,1,0,1,1,0,0,0,1,1
6275,underweight,male,vegan,twice a day,wood,public,bus,often,174,frequently,705,small,5,20,42,15,0,2162,0,1,0,1,1,1,1,1,0
6276,underweight,male,pescatarian,less frequently,natural gas,private,electric,never,73,rarely,1701,small,2,1,26,13,0,1224,1,0,0,0,1,1,0,1,1
6277,normal,female,vegan,less frequently,natural gas,walk/bicycle,none,sometimes,265,frequently,9,extra large,7,22,48,10,0,2400,1,0,1,0,0,0,0,1,0
6278,overweight,male,vegetarian,less frequently,electricity,public,bus,never,210,rarely,284,extra large,5,11,2,3,2,1174,0,1,1,0,1,1,0,0,0
6279,overweight,female,omnivore,twice a day,wood,public,bus,sometimes,201,rarely,117,large,5,19,50,23,1,2156,0,1,1,0,0,0,0,1,1
6280,underweight,female,vegan,daily,electricity,public,bus,never,83,never,1843,extra large,4,14,37,7,1,1265,1,0,0,1,1,1,0,1,1
6281,underweight,female,omnivore,twice a day,natural gas,public,bus,sometimes,127,very frequently,1544,large,7,18,45,17,0,2982,0,1,0,1,0,0,1,1,1
6282,normal,female,pescatarian,less frequently,coal,public,bus,often,210,never,376,small,7,0,15,19,2,1161,1,1,0,1,1,1,1,1,0
6283,obese,female,omnivore,more frequently,electricity,private,electric,never,243,rarely,5048,medium,7,5,42,24,1,1683,1,1,1,1,1,1,1,0,1
6284,obese,male,omnivore,daily,electricity,walk/bicycle,none,often,252,frequently,17,small,3,11,18,0,2,1756,1,0,1,0,0,0,1,0,0
6285,overweight,female,vegan,less frequently,coal,walk/bicycle,none,sometimes,289,very frequently,22,small,1,20,34,8,2,2571,0,1,0,0,1,1,0,0,0
6286,overweight,female,vegan,daily,wood,private,petrol,often,115,very frequently,1869,large,2,20,50,13,1,3688,0,0,0,1,1,1,0,1,0
6287,normal,female,vegetarian,twice a day,coal,walk/bicycle,none,often,277,rarely,1,medium,7,4,31,24,0,1766,1,1,1,1,0,0,0,1,0
6288,underweight,male,vegan,less frequently,natural gas,public,bus,sometimes,56,never,1416,extra large,6,9,41,18,1,1902,1,1,0,1,1,1,1,0,1
6289,overweight,male,vegetarian,less frequently,electricity,walk/bicycle,none,sometimes,66,rarely,90,medium,4,10,12,16,1,1119,0,1,0,0,1,1,0,0,0
6290,overweight,male,pescatarian,daily,coal,public,bus,often,56,rarely,1060,small,3,0,47,13,0,2318,0,0,0,0,0,0,0,0,1
6291,normal,female,vegetarian,less frequently,coal,public,bus,often,130,rarely,278,medium,6,23,0,3,0,1235,1,1,0,0,0,0,1,0,1
6292,underweight,male,vegan,twice a day,wood,walk/bicycle,none,never,244,rarely,49,medium,5,0,20,3,1,1210,1,1,0,1,0,0,1,1,1
6293,normal,male,vegetarian,more frequently,wood,private,electric,often,150,very frequently,5470,medium,3,14,15,11,0,2553,0,1,1,1,0,0,1,1,0
6294,overweight,male,vegan,more frequently,electricity,public,bus,never,174,very frequently,1804,small,1,23,17,24,1,2416,0,1,0,1,1,1,0,0,1
6295,underweight,male,vegan,twice a day,coal,walk/bicycle,none,sometimes,172,very frequently,53,extra large,4,13,18,4,2,2906,1,1,0,0,1,1,0,1,1
6296,overweight,male,pescatarian,less frequently,natural gas,private,diesel,sometimes,227,never,6989,extra large,3,19,35,24,1,3679,0,0,1,1,0,0,0,1,0
6297,obese,female,omnivore,more frequently,coal,walk/bicycle,none,sometimes,58,rarely,32,extra large,2,6,26,16,2,1640,1,0,1,0,1,1,1,0,0
6298,underweight,male,vegan,more frequently,electricity,walk/bicycle,none,never,222,never,60,large,6,16,19,3,0,1021,1,0,1,1,1,1,1,0,0
6299,underweight,male,omnivore,twice a day,coal,public,bus,often,214,rarely,1688,medium,5,4,17,11,2,1980,1,0,0,0,0,0,1,1,1
6300,obese,female,vegetarian,less frequently,electricity,walk/bicycle,none,never,126,never,68,extra large,3,10,3,8,1,579,1,1,0,1,0,0,1,0,1
6301,underweight,male,vegan,twice a day,wood,public,bus,often,158,very frequently,418,medium,7,13,1,18,1,2305,1,1,0,1,0,0,0,0,1
6302,underweight,male,pescatarian,more frequently,coal,walk/bicycle,none,sometimes,65,never,23,small,2,21,22,12,0,1304,0,0,0,1,0,0,0,0,0
6303,normal,female,pescatarian,twice a day,electricity,walk/bicycle,none,never,183,frequently,21,extra large,4,10,26,6,2,1696,1,0,1,1,1,1,1,1,1
6304,normal,female,omnivore,less frequently,natural gas,walk/bicycle,none,often,125,frequently,24,large,4,24,31,14,0,1994,1,0,1,1,0,0,1,1,0
6305,normal,male,omnivore,twice a day,electricity,walk/bicycle,none,often,141,very frequently,67,large,2,7,2,10,2,2007,1,0,1,0,1,1,0,0,0
6306,obese,male,vegan,daily,natural gas,public,bus,sometimes,214,never,1325,medium,6,22,12,7,2,1646,0,0,1,0,1,1,0,1,0
6307,normal,female,vegetarian,less frequently,coal,private,petrol,never,242,never,1901,extra large,1,10,16,16,1,1651,1,0,0,1,0,0,0,0,1
6308,underweight,female,vegan,less frequently,natural gas,walk/bicycle,none,never,261,frequently,33,small,2,23,46,10,2,1730,0,0,0,0,1,1,0,1,0
6309,underweight,female,vegetarian,more frequently,coal,private,diesel,never,264,very frequently,1750,small,5,17,50,22,0,2808,0,0,1,1,0,0,0,0,0
6310,normal,female,omnivore,daily,coal,private,diesel,often,143,never,8855,large,5,2,45,22,1,4068,0,0,0,0,0,0,0,1,1
6311,overweight,male,vegan,more frequently,electricity,private,lpg,never,253,never,7141,small,6,18,12,10,2,3007,0,1,1,0,1,1,1,1,0
6312,overweight,male,omnivore,daily,coal,walk/bicycle,none,never,81,very frequently,26,extra large,2,11,31,21,1,2990,0,1,1,1,1,1,0,1,1
6313,overweight,female,pescatarian,daily,wood,walk/bicycle,none,never,183,very frequently,97,large,6,6,33,20,1,2841,1,1,0,0,0,0,0,0,1
6314,normal,female,omnivore,less frequently,natural gas,walk/bicycle,none,often,91,rarely,97,large,4,24,46,7,2,1709,0,0,1,1,0,0,1,0,1
6315,normal,female,omnivore,daily,natural gas,public,bus,often,140,never,1297,medium,5,15,12,10,0,1346,0,0,0,0,0,0,0,0,0
6316,underweight,male,vegetarian,daily,wood,private,lpg,never,180,frequently,9440,small,4,14,12,4,0,3789,0,1,1,1,0,0,1,0,1
6317,obese,female,vegetarian,twice a day,wood,walk/bicycle,none,sometimes,226,never,36,large,5,6,5,14,0,1262,1,1,0,1,1,1,0,1,1
6318,normal,male,vegan,less frequently,wood,walk/bicycle,none,sometimes,297,never,46,medium,1,13,29,23,1,1050,0,1,1,0,0,0,1,0,0
6319,underweight,male,pescatarian,twice a day,natural gas,private,electric,never,88,rarely,5165,extra large,1,13,18,17,2,1124,1,0,0,1,0,0,0,0,1
6320,overweight,female,omnivore,less frequently,wood,walk/bicycle,none,never,140,frequently,77,medium,2,10,42,6,2,1919,0,1,0,1,1,1,1,1,0
6321,normal,female,omnivore,more frequently,electricity,public,bus,often,120,very frequently,675,medium,7,11,13,8,1,1996,1,1,0,1,1,1,0,1,0
6322,underweight,female,omnivore,less frequently,coal,walk/bicycle,none,never,194,frequently,96,medium,3,9,28,24,1,1775,0,1,1,0,0,0,1,1,0
6323,obese,male,pescatarian,more frequently,electricity,private,hybrid,often,248,never,1638,small,6,8,27,13,1,1847,1,0,0,1,0,0,1,0,1
6324,obese,female,vegetarian,more frequently,electricity,walk/bicycle,none,never,125,rarely,90,extra large,7,1,45,16,1,2196,1,0,1,0,1,1,0,1,0
6325,overweight,female,vegan,more frequently,wood,private,electric,often,113,never,1477,large,5,21,47,2,0,1537,0,1,1,1,0,0,0,0,1
6326,underweight,female,vegan,more frequently,wood,public,bus,often,148,rarely,1429,large,6,24,26,3,0,1704,0,0,1,0,1,1,1,1,1
6327,obese,male,vegan,twice a day,wood,public,bus,never,124,rarely,1009,small,7,7,40,10,1,1665,0,1,1,1,0,0,1,0,0
6328,normal,female,vegetarian,twice a day,coal,public,bus,never,230,frequently,1259,large,2,13,29,21,1,1836,1,1,0,0,0,0,1,0,1
6329,underweight,male,vegan,less frequently,electricity,walk/bicycle,none,often,243,frequently,4,large,2,12,18,1,0,1586,1,0,0,0,0,0,0,1,1
6330,obese,male,omnivore,less frequently,natural gas,walk/bicycle,none,never,74,rarely,78,small,7,16,1,18,1,1274,1,1,0,1,1,1,0,1,1
6331,overweight,male,vegetarian,twice a day,natural gas,private,diesel,often,75,never,3212,medium,2,20,48,20,0,2590,1,1,0,0,0,0,1,0,1
6332,overweight,female,vegetarian,more frequently,electricity,private,diesel,often,143,rarely,2222,large,4,20,39,1,1,1892,1,1,1,0,0,0,0,0,1
6333,obese,female,vegetarian,daily,coal,private,diesel,often,78,frequently,2028,small,7,20,43,22,0,3086,0,1,0,0,0,0,1,1,1
6334,obese,male,vegan,daily,coal,public,bus,often,163,rarely,1442,medium,5,6,11,20,2,2151,0,1,0,0,1,1,1,1,1
6335,obese,male,pescatarian,twice a day,natural gas,walk/bicycle,none,sometimes,228,never,76,medium,7,20,15,18,1,1732,1,1,0,0,0,0,0,1,1
6336,underweight,male,vegetarian,twice a day,natural gas,public,bus,sometimes,55,never,682,medium,7,7,13,8,1,1179,1,1,0,0,1,1,0,1,0
6337,underweight,female,pescatarian,less frequently,coal,walk/bicycle,none,never,160,never,59,medium,1,5,11,17,1,872,0,1,0,1,1,1,1,0,0
6338,overweight,male,pescatarian,less frequently,wood,public,bus,never,121,very frequently,326,extra large,2,7,45,12,0,3015,1,1,0,1,1,1,1,1,1
6339,obese,female,pescatarian,more frequently,electricity,public,bus,never,231,never,1133,small,1,1,32,20,1,1123,1,0,1,0,1,1,1,1,0
6340,normal,male,pescatarian,daily,electricity,private,petrol,often,274,frequently,9543,medium,4,8,0,0,1,5147,0,1,0,1,1,1,0,0,1
6341,overweight,female,vegetarian,less frequently,natural gas,walk/bicycle,none,sometimes,203,never,87,extra large,7,16,1,0,2,1266,1,0,1,1,0,0,1,0,0
6342,obese,female,omnivore,less frequently,electricity,walk/bicycle,none,often,190,very frequently,98,medium,7,23,27,1,1,2650,0,1,0,1,0,0,1,1,0
6343,overweight,male,vegan,daily,coal,walk/bicycle,none,never,202,rarely,67,small,2,9,30,14,1,1557,1,0,1,1,1,1,1,1,1
6344,obese,male,omnivore,less frequently,natural gas,walk/bicycle,none,never,213,frequently,74,small,1,16,44,15,1,2334,1,1,1,0,1,1,0,1,1
6345,overweight,male,pescatarian,less frequently,electricity,private,diesel,sometimes,61,very frequently,4339,large,6,10,20,14,0,3919,1,0,1,0,1,1,1,0,0
6346,normal,male,vegan,less frequently,electricity,walk/bicycle,none,often,238,never,86,medium,5,24,36,1,0,1322,1,0,0,1,0,0,0,0,1
6347,normal,male,vegetarian,twice a day,coal,private,lpg,sometimes,270,never,8076,extra large,6,10,43,9,0,4672,0,0,1,0,0,0,0,0,1
6348,overweight,female,vegetarian,twice a day,electricity,public,bus,never,94,frequently,320,extra large,2,23,42,9,0,1662,1,1,0,1,0,0,1,0,0
6349,normal,male,omnivore,more frequently,natural gas,walk/bicycle,none,often,92,rarely,35,medium,6,8,1,0,0,1554,1,0,0,0,1,1,1,1,0
6350,normal,male,vegan,more frequently,wood,private,petrol,often,175,never,6589,extra large,7,23,46,14,0,4952,0,0,1,0,0,0,0,0,1
6351,normal,male,vegetarian,less frequently,natural gas,public,bus,sometimes,51,frequently,1428,medium,6,20,19,1,1,1751,0,0,1,1,1,1,0,0,1
6352,underweight,male,vegetarian,twice a day,natural gas,public,bus,sometimes,272,very frequently,1502,large,4,3,13,15,0,2598,1,1,0,0,0,0,0,1,0
6353,normal,male,vegan,less frequently,natural gas,private,lpg,often,184,rarely,9930,extra large,4,14,15,3,1,4167,1,0,0,1,1,1,0,0,1
